State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
Arizona,7016270,3487722,49.7,3528548,50.3,435041,6.2,439162,6.3,478839,6.8,476414,6.8,475452,6.8,953327,13.6,859457,12.2,850441,12.1,433857,6.2,413430,5.9,701165,10,368747,5.3,130938,1.9,5383542,76.7,2655396,49.3,2728146,50.7,1200850,17.1,553556,46.1,647294,53.9,6749869,96.2,5442417,77.6,307655,4.4,317974,4.5,232517,3.3,16453,0.2,2202173,31.4,432853,6.2,266401,3.8
California,39536653,19650051,49.7,19886602,50.3,2460425,6.2,2468508,6.2,2597863,6.6,2569487,6.5,2761097,7,6018225,15.2,5232877,13.2,5159747,13.1,2495755,6.3,2267852,5.7,3198555,8.1,1585672,4,720590,1.8,30479267,77.1,15017561,49.3,15461706,50.7,5504817,13.9,2443427,44.4,3061390,55.6,37598576,95.1,23181769,58.6,2271917,5.7,313859,0.8,5765305,14.6,153923,0.4,15477306,39.1,5911803,15,1938077,4.9
Colorado,5607154,2820169,50.3,2786985,49.7,332593,5.9,346265,6.2,369721,6.6,361580,6.4,374927,6.7,867170,15.5,762156,13.6,714756,12.7,367628,6.6,336659,6,481344,8.6,208191,3.7,84164,1.5,4344795,77.5,2172597,50,2172198,50,773699,13.8,353208,45.7,420491,54.3,5413563,96.5,4720495,84.2,229436,4.1,56792,1,179251,3.2,8400,0.1,1206724,21.5,219189,3.9,193591,3.5
Florida,20984400,10254267,48.9,10730133,51.1,1129322,5.4,1140517,5.4,1200363,5.7,1228077,5.9,1265944,6,2707837,12.9,2535767,12.1,2761337,13.2,1456547,6.9,1343457,6.4,2344869,11.2,1324851,6.3,545512,2.6,16783620,80,8114222,48.3,8669398,51.7,4215232,20.1,1898142,45,2317090,55,20430514,97.4,15768315,75.1,3394508,16.2,63635,0.3,588087,2.8,13937,0.1,5370860,25.6,602032,2.9,553886,2.6
Georgia,10429379,5070721,48.6,5358658,51.4,655223,6.3,688623,6.6,735809,7.1,743722,7.1,709976,6.8,1421366,13.6,1384136,13.3,1418289,13.6,671921,6.4,598464,5.7,870469,8.3,395669,3.8,135712,1.3,7914614,75.9,3791307,47.9,4123307,52.1,1401850,13.4,606699,43.3,795151,56.7,10143214,97.3,6122956,58.7,3292061,31.6,36855,0.4,410915,3.9,8594,0.1,1001472,9.6,271833,2.6,286165,2.7
Illinois,12802023,6294900,49.2,6507123,50.8,767348,6,777382,6.1,844216,6.6,845473,6.6,860547,6.7,1765429,13.8,1647140,12.9,1678264,13.1,868447,6.8,800182,6.3,1123624,8.8,575066,4.5,248905,1.9,9906933,77.4,4815985,48.6,5090948,51.4,1947595,15.2,848158,43.5,1099437,56.5,12466552,97.4,9119912,71.2,1818986,14.2,29910,0.2,694968,5.4,4860,0,2206927,17.2,797916,6.2,335471,2.6
Indiana,6666818,3286152,49.3,3380666,50.7,419552,6.3,434312,6.5,448343,6.7,463660,7,465634,7,868016,13,818483,12.3,855973,12.8,447621,6.7,421338,6.3,599762,9,294381,4.4,129743,1.9,5092787,76.4,2475148,48.6,2617639,51.4,1023886,15.4,449807,43.9,574079,56.1,6489787,97.3,5577897,83.7,623961,9.4,12397,0.2,148366,2.2,1441,0,461618,6.9,125725,1.9,177031,2.7
Louisiana,4684333,2289695,48.9,2394638,51.1,306213,6.5,305733,6.5,311993,6.7,321797,6.9,318320,6.8,654476,14,588273,12.6,577426,12.3,306691,6.5,297300,6.3,420819,9,199791,4.3,75501,1.6,3575091,76.3,1719776,48.1,1855315,51.9,696111,14.9,303744,43.6,392367,56.4,4597924,98.2,2890818,61.7,1521339,32.5,23848,0.5,84816,1.8,1517,0,243620,5.2,75586,1.6,86409,1.8
Maryland,6052177,2935822,48.5,3116355,51.5,363313,6,364376,6,387944,6.4,381890,6.3,387050,6.4,837271,13.8,772536,12.8,844542,14,428485,7.1,382184,6.3,532895,8.8,260613,4.3,109078,1.8,4705227,77.7,2247134,47.8,2458093,52.2,902586,14.9,389803,43.2,512783,56.8,5846861,96.6,3322483,54.9,1806673,29.9,18931,0.3,391328,6.5,2143,0,612709,10.1,305303,5,205316,3.4
Massachusetts,6859819,3333270,48.6,3526549,51.4,360336,5.3,364268,5.3,396449,5.8,460059,6.7,490134,7.1,972147,14.2,835762,12.2,942394,13.7,486459,7.1,443987,6.5,636036,9.3,313847,4.6,157941,2.3,5489235,80,2630513,47.9,2858722,52.1,1107824,16.1,479522,43.3,628302,56.7,6649946,96.9,5387411,78.5,531887,7.8,15097,0.2,452717,6.6,993,0,811292,11.8,261841,3.8,209873,3.1
Michigan,9962311,4907242,49.3,5055069,50.7,572370,5.7,581055,5.8,628301,6.3,666157,6.7,695118,7,1266361,12.7,1157393,11.6,1328423,13.3,718892,7.2,683128,6.9,978239,9.8,478891,4.8,207983,2.1,7786450,78.2,3792561,48.7,3993889,51.3,1665113,16.7,742956,44.6,922157,55.4,9667782,97,7814775,78.4,1374615,13.8,53461,0.5,308052,3.1,2951,0,504398,5.1,113928,1.1,294529,3
Minnesota,5576606,2780714,49.9,2795892,50.1,353860,6.3,361500,6.5,367960,6.6,361857,6.5,353013,6.3,758807,13.6,701136,12.6,708904,12.7,394482,7.1,356183,6.4,492811,8.8,249371,4.5,116722,2.1,4278824,76.7,2116447,49.5,2162377,50.5,858904,15.4,388576,45.2,470328,54.8,5418369,97.2,4610465,82.7,361130,6.5,60803,1.1,273194,4.9,2044,0,296666,5.3,110733,2,158237,2.8
Missouri,6113532,3002694,49.1,3110838,50.9,374001,6.1,375209,6.1,400738,6.6,405662,6.6,407647,6.7,814462,13.3,729164,11.9,773476,12.7,427294,7,395610,6.5,583687,9.5,303484,5,123098,2,4725871,77.3,2289651,48.4,2436220,51.6,1010269,16.5,445846,44.1,564423,55.9,5952255,97.4,5013597,82,698380,11.4,25567,0.4,124518,2,8956,0.1,255803,4.2,81237,1.3,161277,2.6
Nevada,2998039,1506252,50.2,1491787,49.8,184055,6.1,193972,6.5,190212,6.3,181284,6,185336,6.2,436060,14.5,400006,13.3,396715,13.2,196390,6.6,175330,5.8,286595,9.6,130841,4.4,41243,1.4,2314082,77.2,1154611,49.9,1159471,50.1,458679,15.3,217276,47.4,241403,52.6,2858836,95.4,1936859,64.6,274550,9.2,37910,1.3,255025,8.5,20761,0.7,864663,28.8,333731,11.1,139203,4.6
NewYork,19849399,9637896,48.6,10211503,51.4,1157597,5.8,1117817,5.6,1163438,5.9,1237311,6.2,1352104,6.8,2923367,14.7,2471713,12.5,2661217,13.4,1346547,6.8,1257239,6.3,1786400,9,929667,4.7,444982,2.2,15695902,79.1,7515307,47.9,8180595,52.1,3161049,15.9,1353360,42.8,1807689,57.2,19247328,97,12523357,63.1,3136984,15.8,76069,0.4,1734663,8.7,7397,0,3811654,19.2,1768858,8.9,602071,3
NorthCarolina,10273419,4998538,48.7,5274881,51.3,601181,5.9,629442,6.1,665657,6.5,694964,6.8,690990,6.7,1352154,13.2,1305272,12.7,1390045,13.5,684650,6.7,629066,6.1,987947,9.6,463493,4.5,178558,1.7,7972229,77.6,3820732,47.9,4151497,52.1,1629998,15.9,711245,43.6,918753,56.4,10006431,97.4,7066745,68.8,2206579,21.5,119909,1.2,295672,2.9,8385,0.1,962466,9.4,309141,3,266988,2.6
Ohio,11658609,5709254,49,5949355,51,695130,6,702748,6,744908,6.4,776500,6.7,757438,6.5,1525401,13.1,1383026,11.9,1519661,13,826621,7.1,787560,6.8,1118412,9.6,572324,4.9,248880,2.1,9056612,77.7,4377403,48.3,4679209,51.7,1939616,16.6,847873,43.7,1091743,56.3,11317629,97.1,9480074,81.3,1441353,12.4,23720,0.2,257518,2.2,4216,0,436762,3.7,110748,0.9,340980,2.9
Pennsylvania,12805537,6272521,49,6533016,51,705018,5.5,709879,5.5,779203,6.1,823389,6.4,827206,6.5,1681722,13.1,1489221,11.6,1699842,13.3,924152,7.2,889362,6.9,1278851,10,667406,5.2,330286,2.6,10140566,79.2,4905803,48.4,5234763,51.6,2276543,17.8,991667,43.6,1284876,56.4,12491105,97.5,10339488,80.7,1437081,11.2,23523,0.2,444588,3.5,3425,0,938428,7.3,243000,1.9,314432,2.5
Tennessee,6715984,3272135,48.7,3443849,51.3,405128,6,406018,6,437851,6.5,441907,6.6,436627,6.5,905358,13.5,841848,12.5,891828,13.3,449469,6.7,429550,6.4,642650,9.6,314717,4.7,113033,1.7,5207732,77.5,2506343,48.1,2701389,51.9,1070400,15.9,471577,44.1,598823,55.9,6573658,97.9,5221591,77.7,1122675,16.7,14637,0.2,119115,1.8,6380,0.1,361203,5.4,89260,1.3,142326,2.1
Texas,28304596,14062701,49.7,14241895,50.3,2020164,7.1,2014510,7.1,2105315,7.4,2029893,7.2,1985368,7,4122739,14.6,3833039,13.5,3539389,12.5,1673649,5.9,1515038,5.4,2090348,7.4,1000729,3.5,374415,1.3,20939433,74,10298806,49.2,10640627,50.8,3465492,12.2,1545061,44.6,1920431,55.4,27555516,97.4,20929140,73.9,3423231,12.1,135098,0.5,1360248,4.8,23905,0.1,11158751,39.4,1683894,5.9,749080,2.6
Washington,7405743,3698615,49.9,3707128,50.1,455015,6.1,465172,6.3,456754,6.2,445939,6,480895,6.5,1105343,14.9,977367,13.2,946140,12.8,484105,6.5,471254,6.4,683938,9.2,306192,4.1,127629,1.7,5759010,77.8,2859698,49.7,2899312,50.3,1117759,15.1,508652,45.5,609107,54.5,6967658,94.1,5582361,75.4,271584,3.7,93038,1.3,632156,8.5,48533,0.7,940792,12.7,339986,4.6,438085,5.9
Wisconsin,5795483,2880454,49.7,2915029,50.3,333985,5.8,347700,6,374137,6.5,379515,6.5,401915,6.9,727114,12.5,698926,12.1,761175,13.1,429312,7.4,385520,6.7,553726,9.6,276045,4.8,126413,2.2,4516122,77.9,2228211,49.3,2287911,50.7,956184,16.5,432708,45.3,523476,54.7,5652246,97.5,4942176,85.3,370335,6.4,49261,0.8,159530,2.8,4177,0.1,397847,6.9,126767,2.2,143237,2.5
