State,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,517987,3461127,448925,845193,1221516,1065567,32,67.9,75.5,75.1,76.3,76.8,66.4,51.4,21.2,5.5,71.4,75.9,67,38,78.1,71.9,56.5,65.8,73.2,81.8,18.5,8.7,6.7,4.5,4,3.1,4.3,3.6,4,4.2,4.8,4.9,4.6,18,3.7,4.3,7.3,6.3,3.9,2.3
California,2664483,20828294,3257883,4409384,6135007,7346033,23.7,63.8,76.3,78.3,78.1,77.1,69.4,56.1,26.3,6.7,73,78.2,67.7,37.3,78.7,74.2,61.3,69.3,74,83,20,10,6.1,5.1,4.4,4.1,3.9,3.8,3.5,4.2,5.2,5.1,5.3,20.9,4,4.6,7,5.8,4.7,3.1
Colorado,306728,3099292,247011,626795,909073,1309553,39.6,74.2,82.1,80.9,81.9,81.6,73.8,59.5,28.8,7.4,77.8,81.7,73.8,41.3,82.8,78.3,63.2,71.4,77.3,85.1,14.9,6.3,3.7,3.4,3.2,2.8,2.5,3.1,3.1,3.2,3.5,3.7,3.1,17.8,2.6,3.1,5.3,4.3,3.1,2.3
Florida,1486845,10499008,1140111,3068690,3354265,3380275,28.4,65.9,77.4,76.9,78.2,77.3,67.4,51.9,22,5.8,72.2,76.2,68.3,36.8,78.5,72.9,56.8,68.5,74.5,80.8,18.8,9,5.7,4.8,4.3,3.7,3.6,3.6,3.8,4.9,4.7,4.6,4.9,20.4,3.5,4.3,7.1,5.1,4.5,2.7
Georgia,761764,5325414,623643,1476761,1584996,1836344,27.8,65.2,76.3,77.3,78.1,77.6,68.5,53.2,23,7,72.7,76.9,68.7,37.5,79.6,73.7,53.9,67.5,74.6,84.5,17.3,8.4,6.2,4.9,3.6,3.2,2.8,2.5,3.1,2.4,4.4,4.1,4.6,19.1,3.1,3.9,6.5,4.9,4.3,2.2
Illinois,831166,6590880,629802,1610641,1958331,2517054,33.5,68,79,81.5,81.4,80,72,57,25.9,6.8,75.7,79.6,71.7,37.9,81.6,76.6,56.6,69.3,77.3,85.8,17.1,10.2,6.6,5,4.2,4,4.3,3.9,3.1,2.6,5.2,5.1,5.2,24,3.8,4.6,9.1,7,4.6,2.4
Indiana,470172,3328333,348229,1051554,1035006,981958,38.6,71.6,79.7,79.2,80.1,78.8,71.9,55.7,24.8,7.3,75,79.4,70.7,38.1,81.6,75.5,53,70.1,78.5,86,13.7,7.1,5,4.2,3.6,3.2,2.5,2.2,3.8,2.5,4,4,3.9,18.3,2.8,3.5,7.9,4.7,3.1,1.9
Louisiana,443503,2193798,315355,810064,679883,599821,23.6,59.7,73.2,74.1,74.3,71.3,62.7,48.3,23,6.9,67.7,70.5,65,33.9,76.7,68.7,44.5,63.9,72.5,83.7,24.9,11.3,6.2,6.3,6,4.9,3.3,2.4,3,1.3,5.9,6,5.7,24.2,3.8,5.2,12.5,6.6,4.3,2.3
Maryland,292395,3261457,272210,743189,851436,1369463,30.6,66,81,81.3,82.2,82.5,76.1,61.2,30.7,8.2,77.3,80,74.8,38.2,82.2,78.7,61.3,71.3,78.2,86.3,17.3,10.6,5.9,5.5,3.6,3.2,3.4,2.8,3.5,3,4.6,4.5,4.7,24.8,3.5,3.9,7.1,6,4.5,2.3
Massachusetts,380502,3702549,284565,804883,855796,1749943,34.5,67.1,82,82.7,83.4,80.7,75.6,62.9,31.5,8.1,77.5,79.9,75.2,33.1,83.3,78.9,54.6,71.2,78.5,86.6,16.8,8.6,4.9,3.7,3.6,3.6,4,3.3,3.4,1.5,4.3,4.5,4.1,21,3.4,3.8,10.1,5.5,3.9,2.4
Michigan,765147,4986292,414873,1383768,1744576,1606176,37.2,70.4,79.3,79.6,78.9,76.8,68.2,50.8,21.1,5.9,72.9,76.5,69.2,38,79.2,73.2,47.6,65.6,74.7,84.7,15.9,9.5,6.5,4.4,4.3,3.8,3.4,2.9,3.5,3.4,4.9,5.3,4.4,21.1,3.4,4.3,11.2,5.8,4.1,2.3
Minnesota,296337,2944740,178571,622067,985162,1134795,47.8,77.9,85.5,86.4,86.6,85.4,78.6,61.5,26.9,6.8,81.6,83.7,79.4,44.7,86,82,62,75,82.6,88.5,8.9,6,3.9,3,2.7,2.5,2.3,3.3,1.9,1.9,3.2,3.5,2.9,16.2,2.4,2.9,8.3,4,3,1.6
Missouri,433391,3040559,263761,889544,1000367,994041,38.2,69.8,79.9,80.4,80.8,77.7,68.5,52.9,23.9,6.1,74,76.6,71.4,37.2,80.9,74.6,48.9,67.4,76.8,85.6,11.6,7.4,4.7,4,3.5,2.9,3.1,2.3,2.8,4.1,3.9,4.5,3.3,18.2,2.8,3.5,11,4.8,3,1.7
Nevada,210683,1568342,214690,455953,554825,395986,32.2,72.5,77.7,78.5,79.2,75.8,66.3,51.9,23.3,5.8,73.3,77.6,69,36.5,79.3,73.4,64,69.6,74.6,81.3,18.1,8.2,5.5,6,4.3,4.6,3.9,4.2,4.6,8.1,5.1,5.2,5,22.6,3.7,4.7,6.2,6.3,4.6,2.7
NewYork,1412463,10137741,1169035,2550020,2596174,4145049,24.4,62.1,78.2,80.7,80.5,77.9,70.1,57.2,26.3,6.9,74,77.3,70.8,33.9,80.6,75.4,54.6,68.3,75.8,85.5,18.4,10.1,5.5,4.6,3.8,3.8,3.8,3.3,3,3.1,4.7,5,4.4,21.7,3.4,4.1,7.9,5.1,4.5,2.7
NorthCarolina,769820,5195485,577061,1288844,1734701,1812964,32.3,62.5,75.3,77.6,78.9,77.5,68.9,53.9,23.1,6.6,72.3,76.1,68.7,39.4,78.8,73.6,54.5,67,74.7,83.2,17.6,9.7,6.8,4.1,3.7,3.2,3.2,2.4,3,3.2,4.5,4.2,4.8,18.2,3.3,3.9,7.5,5.3,4,2.1
Ohio,868288,5783405,481873,1838901,1846046,1864052,38,73.1,79.4,79.5,79.6,78.7,69.7,55.6,24.6,6.1,74.7,77.9,71.5,37.9,81.5,74.8,46.7,69.1,77,85.6,16.2,7.9,5.5,4.9,4.4,3.4,3.1,2.5,3,3.4,4.5,4.8,4,21,3,4,12.9,5.2,3.7,1.9
Pennsylvania,847388,6451058,515398,2128238,1725900,2292722,35.3,67,79.7,80.7,80.8,79,72.3,57.9,25.7,7.1,75,77.8,72.2,36.1,81.7,76,52.2,69.2,77.9,86.1,15.6,9,5.9,4.4,3.9,3.4,3.7,2.9,3.4,2.9,4.5,4.8,4.2,20.5,3.4,4,8.3,5.4,3.9,2.3
Tennessee,552668,3341993,368114,1104400,1042120,1021392,34.4,67.8,74.9,77.8,76.5,74.8,66.4,51.1,23.6,6.8,71.1,75.4,67.1,36.6,78.2,71.5,47.4,65.5,74.3,84,17.3,10.4,7.1,5.5,4.6,3.2,3.7,2.2,2.4,4.9,5.1,5,5.2,22.7,3.4,4.4,10.4,5.5,4.4,2.2
Texas,2091424,14419523,2244501,3693860,4324468,4614669,29,65.4,76.3,76.9,77.7,76.8,69.3,55.9,27.3,7.8,73,79.3,66.7,41.3,79.2,74,61.3,68.5,75.3,83.3,16,8.5,5.6,4.1,3.9,3.5,3.4,3.8,3.3,2.4,4.5,4.4,4.6,16.1,3.5,4,5,5.1,4.2,2.8
Washington,441729,4027268,341765,853315,1338992,1517004,32.1,69.8,78.2,79,79.7,78.9,70.8,55.4,24,5.3,74.7,79.1,70.2,37.3,79.8,75.3,62.5,69.7,73.4,82.9,17.3,8.2,4.3,3.5,3.4,3.1,2.6,3.1,2.5,4,3.9,3.9,3.8,19.5,2.9,3.4,6.8,4.3,3.5,2.2
Wisconsin,352694,2988247,216915,833595,999699,955330,47,76.5,84.1,83.2,84.9,83.3,75.3,59.4,23.6,6.1,79.1,81.5,76.6,45.7,84.2,79.4,59.1,74.1,80.7,87.4,9.2,5.2,3.7,3,2.5,2.3,2.3,1.8,2.2,1.4,2.9,3.1,2.7,14,2.1,2.6,6.1,3.6,2.5,1.3
